Location,day,temp,duration,count,Date Collected
UEA,C,30,2,112,Jan/Feb '25
UEA,C,30,2,109,Jan/Feb '25
UEA,C,30,5,110,Jan/Feb '25
UEA,C,30,5,93,Jan/Feb '25
UEA,C,30,5,95,Jan/Feb '25
UEA,C,30,5,111,Jan/Feb '25
UEA,C,30,5,98,Jan/Feb '25
UEA,C,30,5,100,Jan/Feb '25
UEA,C,30,5,91,Jan/Feb '25
UEA,C,30,5,110,Jan/Feb '25
UEA,C,30,5,126,Jan/Feb '25
UEA,C,40,2,96,Jan/Feb '25
UEA,C,40,2,87,Jan/Feb '25
UEA,C,40,2,125,Jan/Feb '25
UEA,C,40,2,112,Jan/Feb '25
UEA,C,40,2,107,Jan/Feb '25
UEA,C,40,2,108,Jan/Feb '25
UEA,C,40,2,121,Jan/Feb '25
UEA,C,40,2,104,Jan/Feb '25
UEA,C,40,2,103,Jan/Feb '25
UEA,C,40,5,113,Jan/Feb '25
UEA,C,40,5,122,Jan/Feb '25
UEA,C,40,5,92,Jan/Feb '25
UEA,C,40,5,104,Jan/Feb '25
UEA,C,40,5,121,Jan/Feb '25
UEA,C,40,5,95,Jan/Feb '25
UEA,C,40,5,107,Jan/Feb '25
UEA,C,40,5,94,Jan/Feb '25
UEA,C,40,5,109,Jan/Feb '25
UEA,C,42,2,96,Jan/Feb '25
UEA,C,42,2,94,Jan/Feb '25
UEA,C,42,2,116,Jan/Feb '25
UEA,C,42,2,108,Jan/Feb '25
UEA,C,42,2,97,Jan/Feb '25
UEA,C,42,2,100,Jan/Feb '25
UEA,C,42,2,106,Jan/Feb '25
UEA,C,42,2,124,Jan/Feb '25
UEA,C,42,2,111,Jan/Feb '25
UEA,C,42,5,116,Jan/Feb '25
UEA,C,42,5,132,Jan/Feb '25
UEA,C,42,5,112,Jan/Feb '25
UEA,C,42,5,102,Jan/Feb '25
UEA,C,42,5,113,Jan/Feb '25
UEA,C,42,5,111,Jan/Feb '25
UEA,C,42,5,113,Jan/Feb '25
UEA,C,42,5,129,Jan/Feb '25
UEA,C,42,5,96,Jan/Feb '25
UEA,C,44,2,107,Jan/Feb '25
UEA,C,44,2,110,Jan/Feb '25
UEA,C,44,2,127,Jan/Feb '25
UEA,C,44,2,113,Jan/Feb '25
UEA,C,44,2,103,Jan/Feb '25
UEA,C,44,2,117,Jan/Feb '25
UEA,C,44,2,104,Jan/Feb '25
UEA,C,44,2,104,Jan/Feb '25
UEA,C,44,2,103,Jan/Feb '25
UEA,C,44,5,112,Jan/Feb '25
UEA,C,44,5,107,Jan/Feb '25
UEA,C,44,5,127,Jan/Feb '25
UEA,C,44,5,110,Jan/Feb '25
UEA,C,44,5,120,Jan/Feb '25
UEA,C,44,5,113,Jan/Feb '25
UEA,C,44,5,114,Jan/Feb '25
UEA,C,44,5,97,Jan/Feb '25
UEA,C,44,5,113,Jan/Feb '25
UEA,C,46,2,3,Jan/Feb '25
UEA,C,46,2,12,Jan/Feb '25
UEA,C,46,2,81,Jan/Feb '25
UEA,C,46,2,55,Jan/Feb '25
UEA,C,46,2,65,Jan/Feb '25
UEA,C,46,2,73,Jan/Feb '25
UEA,C,46,2,99,Jan/Feb '25
UEA,C,46,2,69,Jan/Feb '25
UEA,C,46,2,71,Jan/Feb '25
UEA,C,46,5,0,Jan/Feb '25
UEA,C,46,5,2,Jan/Feb '25
UEA,C,46,5,0,Jan/Feb '25
UEA,C,46,5,46,Jan/Feb '25
UEA,C,46,5,36,Jan/Feb '25
UEA,C,46,5,0,Jan/Feb '25
UEA,C,46,5,61,Jan/Feb '25
UEA,C,46,5,9,Jan/Feb '25
UEA,C,46,5,17,Jan/Feb '25
UEA,C,48,2,69,Jan/Feb '25
UEA,C,48,2,92,Jan/Feb '25
UEA,C,48,2,78,Jan/Feb '25
UEA,C,48,2,105,Jan/Feb '25
UEA,C,48,2,119,Jan/Feb '25
UEA,C,48,2,99,Jan/Feb '25
UEA,C,48,2,44,Jan/Feb '25
UEA,C,48,2,31,Jan/Feb '25
UEA,C,48,2,59,Jan/Feb '25
UEA,C,48,5,55,Jan/Feb '25
UEA,C,48,5,42,Jan/Feb '25
UEA,C,48,5,60,Jan/Feb '25
UEA,C,48,5,47,Jan/Feb '25
UEA,C,48,5,76,Jan/Feb '25
UEA,C,48,5,53,Jan/Feb '25
UEA,C,48,5,55,Jan/Feb '25
UEA,C,48,5,54,Jan/Feb '25
UEA,C,48,5,1,Jan/Feb '25
UEA,C,50,2,6,Jan/Feb '25
UEA,C,50,2,1,Jan/Feb '25
UEA,C,50,2,0,Jan/Feb '25
UEA,C,50,2,0,Jan/Feb '25
UEA,C,50,2,44,Jan/Feb '25
UEA,C,50,2,2,Jan/Feb '25
UEA,C,50,2,36,Jan/Feb '25
UEA,C,50,2,72,Jan/Feb '25
UEA,C,50,2,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,35,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,C,50,5,0,Jan/Feb '25
UEA,D,30,2,149,Jan/Feb '25
UEA,D,30,2,151,Jan/Feb '25
UEA,D,30,2,153,Jan/Feb '25
UEA,D,30,2,164,Jan/Feb '25
UEA,D,30,2,160,Jan/Feb '25
UEA,D,30,2,154,Jan/Feb '25
UEA,D,30,2,166,Jan/Feb '25
UEA,D,30,2,172,Jan/Feb '25
UEA,D,30,2,174,Jan/Feb '25
UEA,D,30,5,161,Jan/Feb '25
UEA,D,30,5,160,Jan/Feb '25
UEA,D,30,5,154,Jan/Feb '25
UEA,D,30,5,159,Jan/Feb '25
UEA,D,30,5,141,Jan/Feb '25
UEA,D,30,5,142,Jan/Feb '25
UEA,D,30,5,128,Jan/Feb '25
UEA,D,30,5,159,Jan/Feb '25
UEA,D,30,5,129,Jan/Feb '25
UEA,D,40,2,144,Jan/Feb '25
UEA,D,40,2,172,Jan/Feb '25
UEA,D,40,2,147,Jan/Feb '25
UEA,D,40,2,148,Jan/Feb '25
UEA,D,40,2,165,Jan/Feb '25
UEA,D,40,2,158,Jan/Feb '25
UEA,D,40,2,175,Jan/Feb '25
UEA,D,40,2,160,Jan/Feb '25
UEA,D,40,2,155,Jan/Feb '25
UEA,D,40,5,153,Jan/Feb '25
UEA,D,40,5,124,Jan/Feb '25
UEA,D,40,5,139,Jan/Feb '25
UEA,D,40,5,144,Jan/Feb '25
UEA,D,40,5,161,Jan/Feb '25
UEA,D,40,5,129,Jan/Feb '25
UEA,D,40,5,139,Jan/Feb '25
UEA,D,40,5,146,Jan/Feb '25
UEA,D,40,5,154,Jan/Feb '25
UEA,D,42,2,150,Jan/Feb '25
UEA,D,42,2,176,Jan/Feb '25
UEA,D,42,2,159,Jan/Feb '25
UEA,D,42,2,166,Jan/Feb '25
UEA,D,42,2,159,Jan/Feb '25
UEA,D,42,2,155,Jan/Feb '25
UEA,D,42,2,169,Jan/Feb '25
UEA,D,42,2,137,Jan/Feb '25
UEA,D,42,2,151,Jan/Feb '25
UEA,D,42,5,151,Jan/Feb '25
UEA,D,42,5,170,Jan/Feb '25
UEA,D,42,5,149,Jan/Feb '25
UEA,D,42,5,146,Jan/Feb '25
UEA,D,42,5,109,Jan/Feb '25
UEA,D,42,5,154,Jan/Feb '25
UEA,D,42,5,149,Jan/Feb '25
UEA,D,42,5,132,Jan/Feb '25
UEA,D,42,5,150,Jan/Feb '25
UEA,D,44,2,138,Jan/Feb '25
UEA,D,44,2,145,Jan/Feb '25
UEA,D,44,2,131,Jan/Feb '25
UEA,D,44,2,140,Jan/Feb '25
UEA,D,44,2,175,Jan/Feb '25
UEA,D,44,2,142,Jan/Feb '25
UEA,D,44,2,143,Jan/Feb '25
UEA,D,44,2,168,Jan/Feb '25
UEA,D,44,2,127,Jan/Feb '25
UEA,D,44,5,133,Jan/Feb '25
UEA,D,44,5,144,Jan/Feb '25
UEA,D,44,5,135,Jan/Feb '25
UEA,D,44,5,153,Jan/Feb '25
UEA,D,44,5,149,Jan/Feb '25
UEA,D,44,5,130,Jan/Feb '25
UEA,D,44,5,197,Jan/Feb '25
UEA,D,44,5,154,Jan/Feb '25
UEA,D,44,5,163,Jan/Feb '25
UEA,D,46,2,119,Jan/Feb '25
UEA,D,46,2,94,Jan/Feb '25
UEA,D,46,2,82,Jan/Feb '25
UEA,D,46,2,65,Jan/Feb '25
UEA,D,46,2,105,Jan/Feb '25
UEA,D,46,2,87,Jan/Feb '25
UEA,D,46,2,5,Jan/Feb '25
UEA,D,46,2,10,Jan/Feb '25
UEA,D,46,2,159,Jan/Feb '25
UEA,D,46,5,103,Jan/Feb '25
UEA,D,46,5,54,Jan/Feb '25
UEA,D,46,5,0,Jan/Feb '25
